t,t_sec,Tamb,PV1,PV2,PV3,SP,PV_prom
Thu Jan 16 17:04:06 2020,0.000,28.579,31.106,29.237,29.343,0.000,29.891
Thu Jan 16 17:04:07 2020,0.816,28.579,31.106,29.237,29.345,0.000,29.885
Thu Jan 16 17:04:08 2020,1.616,28.579,31.106,29.237,29.345,70.000,29.885
Thu Jan 16 17:04:08 2020,2.432,28.579,31.106,29.237,29.343,70.000,29.891
Thu Jan 16 17:04:09 2020,3.232,28.580,31.106,29.237,29.345,70.000,29.885
Thu Jan 16 17:04:10 2020,4.048,28.580,31.106,29.237,29.345,70.000,29.885
Thu Jan 16 17:04:11 2020,4.848,28.581,31.106,29.237,29.346,70.000,29.891
Thu Jan 16 17:04:12 2020,5.664,28.580,31.106,29.238,29.342,70.000,29.891
Thu Jan 16 17:04:12 2020,6.480,28.580,31.106,29.238,29.342,70.000,29.891
Thu Jan 16 17:04:13 2020,7.280,28.580,31.106,29.238,29.342,70.000,29.885
Thu Jan 16 17:04:14 2020,8.096,28.581,31.106,29.238,29.344,70.000,29.885
Thu Jan 16 17:04:15 2020,8.896,28.580,31.107,29.238,29.346,70.000,29.891
Thu Jan 16 17:04:16 2020,9.712,28.580,31.107,29.238,29.346,70.000,29.891
Thu Jan 16 17:04:16 2020,10.512,28.580,31.106,29.238,29.345,70.000,29.891
Thu Jan 16 17:04:17 2020,11.328,28.580,31.106,29.238,29.345,70.000,29.891
Thu Jan 16 17:04:18 2020,12.128,28.580,31.106,29.238,29.345,70.000,29.891
Thu Jan 16 17:04:19 2020,12.944,28.579,31.106,29.238,29.350,70.000,29.891
Thu Jan 16 17:04:20 2020,13.744,28.578,31.109,29.239,29.347,70.000,29.891
Thu Jan 16 17:04:20 2020,14.560,28.578,31.109,29.239,29.347,70.000,29.891
Thu Jan 16 17:04:21 2020,15.360,28.578,31.150,29.265,29.390,70.000,29.891
Thu Jan 16 17:04:22 2020,16.176,28.577,31.256,29.339,29.485,70.000,29.922
Thu Jan 16 17:04:23 2020,16.992,28.577,31.256,29.339,29.485,70.000,29.922
Thu Jan 16 17:04:24 2020,17.792,28.577,31.414,29.474,29.631,70.000,30.021
Thu Jan 16 17:04:24 2020,18.608,28.577,31.615,29.651,29.813,70.000,30.167
Thu Jan 16 17:04:25 2020,19.408,28.577,31.615,29.651,29.813,70.000,30.167
Thu Jan 16 17:04:26 2020,20.224,28.577,31.844,29.861,30.005,70.000,30.354
Thu Jan 16 17:04:27 2020,21.024,28.577,32.071,30.074,30.216,70.000,30.568
Thu Jan 16 17:04:28 2020,21.840,28.577,32.312,30.303,30.441,70.000,30.776
Thu Jan 16 17:04:29 2020,22.640,28.577,32.312,30.303,30.441,70.000,30.776
Thu Jan 16 17:04:29 2020,23.456,28.578,32.564,30.544,30.679,70.000,31.010
Thu Jan 16 17:04:30 2020,24.256,28.579,32.824,30.818,30.949,70.000,31.255
Thu Jan 16 17:04:31 2020,25.072,28.579,33.114,31.077,30.949,70.000,31.255
Thu Jan 16 17:04:32 2020,25.872,28.580,33.114,31.077,31.210,70.000,31.521
Thu Jan 16 17:04:33 2020,26.688,28.579,33.386,31.343,31.475,70.000,31.792
Thu Jan 16 17:04:33 2020,27.503,28.581,33.663,31.615,31.746,70.000,32.057
Thu Jan 16 17:04:34 2020,28.305,28.581,33.663,31.615,31.746,70.000,32.057
Thu Jan 16 17:04:35 2020,29.119,28.582,33.944,31.891,32.022,70.000,32.333
Thu Jan 16 17:04:36 2020,29.920,28.584,34.228,32.172,32.305,70.000,32.615
Thu Jan 16 17:04:37 2020,30.735,28.586,34.516,32.457,32.589,70.000,32.896
Thu Jan 16 17:04:37 2020,31.536,28.586,34.516,32.457,32.589,70.000,32.896
Thu Jan 16 17:04:38 2020,32.351,28.588,34.807,32.743,32.876,70.000,33.182
Thu Jan 16 17:04:39 2020,33.152,28.589,35.101,33.060,33.195,70.000,33.469
Thu Jan 16 17:04:40 2020,33.967,28.589,35.425,33.060,33.195,70.000,33.469
Thu Jan 16 17:04:41 2020,34.768,28.590,35.425,33.354,33.489,70.000,33.776
Thu Jan 16 17:04:41 2020,35.583,28.591,35.725,33.648,33.788,70.000,34.083
Thu Jan 16 17:04:42 2020,36.384,28.591,36.028,33.944,34.079,70.000,34.380
Thu Jan 16 17:04:43 2020,37.199,28.591,36.028,33.944,34.079,70.000,34.380
Thu Jan 16 17:04:44 2020,38.000,28.588,36.334,34.243,34.384,70.000,34.677
Thu Jan 16 17:04:45 2020,38.815,28.585,36.645,34.541,34.680,70.000,34.979
Thu Jan 16 17:04:46 2020,39.632,28.582,36.960,34.841,34.980,70.000,35.281
Thu Jan 16 17:04:46 2020,40.431,28.582,36.960,34.841,34.980,70.000,35.281
Thu Jan 16 17:04:47 2020,41.248,28.580,37.269,35.141,35.281,70.000,35.583
Thu Jan 16 17:04:48 2020,42.047,28.577,37.575,35.467,35.606,70.000,35.891
Thu Jan 16 17:04:49 2020,42.864,28.577,37.909,35.467,35.606,70.000,35.891
Thu Jan 16 17:04:50 2020,43.663,28.576,37.909,35.768,35.906,70.000,36.203
Thu Jan 16 17:04:50 2020,44.480,28.574,38.222,36.069,36.208,70.000,36.521
Thu Jan 16 17:04:51 2020,45.279,28.573,38.530,36.371,36.510,70.000,36.828
Thu Jan 16 17:04:52 2020,46.096,28.573,38.530,36.371,36.510,70.000,36.828
Thu Jan 16 17:04:53 2020,46.895,28.573,38.836,36.671,36.807,70.000,37.125
Thu Jan 16 17:04:54 2020,47.712,28.574,39.145,36.972,37.114,70.000,37.427
Thu Jan 16 17:04:54 2020,48.511,28.575,39.451,37.273,37.412,70.000,37.635
Thu Jan 16 17:04:55 2020,49.328,28.575,39.451,37.273,37.412,70.000,37.740
Thu Jan 16 17:04:56 2020,50.143,28.581,39.758,37.575,37.711,70.000,38.036
Thu Jan 16 17:04:57 2020,50.944,28.585,40.069,37.902,38.040,70.000,38.339
Thu Jan 16 17:04:58 2020,51.759,28.585,40.069,37.902,38.040,70.000,38.339
Thu Jan 16 17:04:58 2020,52.560,28.588,40.405,38.203,38.339,70.000,38.661
Thu Jan 16 17:04:59 2020,53.375,28.589,40.714,38.502,38.637,70.000,38.969
Thu Jan 16 17:05:00 2020,54.176,28.590,41.022,38.802,38.936,70.000,39.276
Thu Jan 16 17:05:01 2020,54.991,28.590,41.022,38.802,38.936,70.000,39.276
Thu Jan 16 17:05:02 2020,55.791,28.591,41.332,39.103,39.234,70.000,39.578
Thu Jan 16 17:05:02 2020,56.607,28.591,41.639,39.400,39.530,70.000,39.880
Thu Jan 16 17:05:03 2020,57.408,28.593,41.948,39.698,39.823,70.000,40.078
Thu Jan 16 17:05:04 2020,58.223,28.593,41.948,39.698,39.823,70.000,40.177
Thu Jan 16 17:05:05 2020,59.024,28.593,42.262,39.996,40.124,70.000,40.479
Thu Jan 16 17:05:06 2020,59.839,28.595,42.579,40.319,40.441,70.000,40.781
Thu Jan 16 17:05:07 2020,60.655,28.595,42.579,40.319,40.441,70.000,40.781
Thu Jan 16 17:05:07 2020,61.455,28.595,42.950,40.614,40.737,70.000,41.109
Thu Jan 16 17:05:08 2020,62.271,28.595,43.262,40.910,41.029,70.000,41.427
Thu Jan 16 17:05:09 2020,63.071,28.594,43.575,41.203,41.324,70.000,41.724
Thu Jan 16 17:05:10 2020,63.887,28.594,43.575,41.203,41.324,70.000,41.724
Thu Jan 16 17:05:11 2020,64.687,28.594,43.883,41.496,41.616,70.000,42.021
Thu Jan 16 17:05:11 2020,65.503,28.593,44.188,41.789,41.900,70.000,42.323
Thu Jan 16 17:05:12 2020,66.303,28.593,44.490,42.084,42.194,70.000,42.526
Thu Jan 16 17:05:13 2020,67.119,28.593,44.490,42.084,42.194,70.000,42.620
Thu Jan 16 17:05:14 2020,67.920,28.592,44.796,42.378,42.488,70.000,42.917
Thu Jan 16 17:05:15 2020,68.735,28.592,45.101,42.700,42.811,70.000,43.214
Thu Jan 16 17:05:15 2020,69.536,28.592,45.101,42.700,42.811,70.000,43.214
Thu Jan 16 17:05:16 2020,70.351,28.589,45.428,42.993,43.099,70.000,43.526
Thu Jan 16 17:05:17 2020,71.168,28.589,45.732,43.285,43.388,70.000,43.833
Thu Jan 16 17:05:18 2020,71.967,28.588,46.036,43.577,43.677,70.000,44.125
Thu Jan 16 17:05:19 2020,72.783,28.588,46.036,43.577,43.677,70.000,44.125
Thu Jan 16 17:05:19 2020,73.583,28.589,46.339,43.868,43.962,70.000,44.422
Thu Jan 16 17:05:20 2020,74.400,28.589,46.639,44.158,44.252,70.000,44.714
Thu Jan 16 17:05:21 2020,75.199,28.589,46.943,44.446,44.532,70.000,44.911
Thu Jan 16 17:05:22 2020,76.016,28.589,46.943,44.446,44.532,70.000,45.010
Thu Jan 16 17:05:23 2020,76.817,28.589,47.244,44.734,44.815,70.000,45.302
Thu Jan 16 17:05:24 2020,77.631,28.589,47.538,45.046,45.124,70.000,45.589
Thu Jan 16 17:05:24 2020,78.431,28.589,47.538,45.046,45.124,70.000,45.589
Thu Jan 16 17:05:25 2020,79.247,28.590,47.861,45.334,45.410,70.000,45.891
Thu Jan 16 17:05:26 2020,80.047,28.590,48.152,45.618,45.688,70.000,46.198
Thu Jan 16 17:05:27 2020,80.864,28.590,48.442,45.903,45.970,70.000,46.479
Thu Jan 16 17:05:28 2020,81.663,28.590,48.442,45.903,45.970,70.000,46.479
Thu Jan 16 17:05:28 2020,82.479,28.590,48.737,46.186,46.247,70.000,46.766
Thu Jan 16 17:05:29 2020,83.295,28.591,49.035,46.469,46.524,70.000,47.047
Thu Jan 16 17:05:30 2020,84.095,28.588,49.333,46.751,46.811,70.000,47.146
Thu Jan 16 17:05:31 2020,84.911,28.588,49.333,46.751,46.811,70.000,47.339
Thu Jan 16 17:05:32 2020,85.711,28.587,49.636,47.032,47.113,70.000,47.625
Thu Jan 16 17:05:32 2020,86.527,28.586,49.995,47.336,47.385,70.000,47.922
Thu Jan 16 17:05:33 2020,87.328,28.586,49.995,47.336,47.385,70.000,47.922
Thu Jan 16 17:05:34 2020,88.143,28.585,50.312,47.616,47.653,70.000,48.229
Thu Jan 16 17:05:35 2020,88.944,28.585,50.607,47.895,47.932,70.000,48.516
Thu Jan 16 17:05:36 2020,89.759,28.583,50.902,48.171,48.206,70.000,48.802
Thu Jan 16 17:05:36 2020,90.560,28.583,50.902,48.171,48.206,70.000,48.802
Thu Jan 16 17:05:37 2020,91.375,28.584,51.194,48.447,48.477,70.000,49.083
Thu Jan 16 17:05:38 2020,92.176,28.584,51.498,48.722,48.745,70.000,49.365
Thu Jan 16 17:05:39 2020,92.991,28.584,51.805,49.021,49.043,70.000,49.365
Thu Jan 16 17:05:40 2020,93.807,28.583,51.805,49.021,49.043,70.000,49.646
Thu Jan 16 17:05:40 2020,94.607,28.584,52.140,49.294,49.305,70.000,49.948
Thu Jan 16 17:05:41 2020,95.423,28.585,52.458,49.567,49.573,70.000,50.234
Thu Jan 16 17:05:42 2020,96.223,28.585,52.458,49.567,49.573,70.000,50.234
Thu Jan 16 17:05:43 2020,97.039,28.585,52.776,49.838,49.838,70.000,50.526
Thu Jan 16 17:05:44 2020,97.839,28.585,53.089,50.109,50.107,70.000,50.807
Thu Jan 16 17:05:45 2020,98.655,28.586,53.546,50.378,50.350,70.000,51.089
Thu Jan 16 17:05:45 2020,99.455,28.586,53.546,50.378,50.350,70.000,51.089
Thu Jan 16 17:05:46 2020,100.271,28.588,53.854,50.647,50.629,70.000,51.417
Thu Jan 16 17:05:47 2020,101.071,28.590,54.193,50.938,50.917,70.000,51.703
Thu Jan 16 17:05:48 2020,101.887,28.590,54.510,50.938,50.917,70.000,51.703
Thu Jan 16 17:05:49 2020,102.687,28.593,54.510,51.204,51.175,70.000,52.010
Thu Jan 16 17:05:49 2020,103.503,28.594,54.840,51.470,51.435,70.000,52.292
Thu Jan 16 17:05:50 2020,104.318,28.596,55.161,51.735,51.689,70.000,52.573
Thu Jan 16 17:05:51 2020,105.119,28.596,55.161,51.735,51.689,70.000,52.573
Thu Jan 16 17:05:52 2020,105.934,28.595,55.512,51.998,51.947,70.000,52.859
Thu Jan 16 17:05:53 2020,106.735,28.595,55.864,52.261,52.196,70.000,53.141
Thu Jan 16 17:05:53 2020,107.550,28.593,56.221,52.545,52.466,70.000,53.349
Thu Jan 16 17:05:54 2020,108.351,28.593,56.221,52.545,52.466,70.000,53.432
Thu Jan 16 17:05:55 2020,109.166,28.590,56.639,52.804,52.705,70.000,53.734
Thu Jan 16 17:05:56 2020,109.967,28.585,57.128,53.057,52.940,70.000,54.042
Thu Jan 16 17:05:57 2020,110.782,28.585,57.128,53.057,52.940,70.000,54.042
Thu Jan 16 17:05:57 2020,111.583,28.578,57.498,53.304,53.163,70.000,54.370
Thu Jan 16 17:05:58 2020,112.398,28.572,57.850,53.545,53.395,70.000,54.646
Thu Jan 16 17:05:59 2020,113.199,28.566,58.322,53.784,53.613,70.000,54.922
Thu Jan 16 17:06:00 2020,114.014,28.566,58.322,53.784,53.613,70.000,54.922
Thu Jan 16 17:06:01 2020,114.831,28.565,58.836,54.017,53.816,70.000,55.234
Thu Jan 16 17:06:02 2020,115.630,28.569,58.988,54.268,54.053,70.000,55.552
Thu Jan 16 17:06:02 2020,116.447,28.573,59.278,54.499,54.260,70.000,55.604
Thu Jan 16 17:06:03 2020,117.246,28.573,59.278,54.499,54.260,70.000,55.766
Thu Jan 16 17:06:04 2020,118.063,28.575,59.525,54.727,54.465,70.000,56.000
Thu Jan 16 17:06:05 2020,118.863,28.576,59.805,54.951,54.669,70.000,56.229
Thu Jan 16 17:06:06 2020,119.679,28.576,59.805,54.951,54.669,70.000,56.229
Thu Jan 16 17:06:06 2020,120.478,28.577,60.160,55.176,54.890,70.000,56.464
Thu Jan 16 17:06:07 2020,121.295,28.576,60.678,55.397,55.091,70.000,56.734
