t,t_sec,Tamb,PV1,PV2,PV3,SP,PV_prom
Wed Jan 15 10:41:31 2020,0.000,23.674,22.754,22.707,22.826,0.000,22.755
Wed Jan 15 10:41:32 2020,0.800,23.674,22.754,22.707,22.826,0.000,22.755
Wed Jan 15 10:41:33 2020,1.616,23.676,22.755,22.708,22.827,0.000,22.755
Wed Jan 15 10:41:34 2020,2.416,23.676,22.755,22.708,22.827,70.000,22.755
Wed Jan 15 10:41:35 2020,3.232,23.677,22.756,22.708,22.828,70.000,22.755
Wed Jan 15 10:41:35 2020,4.032,23.678,22.755,22.708,22.828,70.000,22.755
Wed Jan 15 10:41:36 2020,4.848,23.678,22.755,22.708,22.828,70.000,22.755
Wed Jan 15 10:41:37 2020,5.648,23.680,22.756,22.709,22.828,70.000,22.755
Wed Jan 15 10:41:38 2020,6.464,23.683,22.756,22.709,22.828,70.000,22.755
Wed Jan 15 10:41:39 2020,7.264,23.686,22.756,22.710,22.829,70.000,22.755
Wed Jan 15 10:41:39 2020,8.080,23.686,22.756,22.710,22.829,70.000,22.755
Wed Jan 15 10:41:40 2020,8.880,23.689,22.757,22.710,22.829,70.000,22.760
Wed Jan 15 10:41:41 2020,9.696,23.690,22.772,22.722,22.848,70.000,22.760
Wed Jan 15 10:41:42 2020,10.512,23.693,22.831,22.775,22.918,70.000,22.766
Wed Jan 15 10:41:43 2020,11.312,23.693,22.831,22.775,22.918,70.000,22.776
Wed Jan 15 10:41:44 2020,12.128,23.695,22.940,22.874,23.040,70.000,22.833
Wed Jan 15 10:41:44 2020,12.928,23.698,23.091,23.011,23.207,70.000,22.943
Wed Jan 15 10:41:45 2020,13.744,23.698,23.091,23.011,23.207,70.000,22.943
Wed Jan 15 10:41:46 2020,14.544,23.701,23.275,23.181,23.405,70.000,23.094
Wed Jan 15 10:41:47 2020,15.360,23.703,23.480,23.373,23.627,70.000,23.276
Wed Jan 15 10:41:48 2020,16.160,23.705,23.701,23.586,23.870,70.000,23.484
Wed Jan 15 10:41:48 2020,16.976,23.705,23.701,23.586,23.870,70.000,23.484
Wed Jan 15 10:41:49 2020,17.776,23.709,23.937,23.833,24.152,70.000,23.708
Wed Jan 15 10:41:50 2020,18.592,23.712,24.203,24.071,24.423,70.000,23.964
Wed Jan 15 10:41:51 2020,19.392,23.714,24.454,24.319,24.703,70.000,23.964
Wed Jan 15 10:41:52 2020,20.208,23.714,24.454,24.319,24.703,70.000,24.224
Wed Jan 15 10:41:52 2020,21.023,23.716,24.714,24.576,24.989,70.000,24.484
Wed Jan 15 10:41:53 2020,21.824,23.719,24.977,24.838,25.282,70.000,24.750
Wed Jan 15 10:41:54 2020,22.639,23.719,24.977,24.838,25.282,70.000,24.750
Wed Jan 15 10:41:55 2020,23.440,23.722,25.247,25.108,25.579,70.000,25.026
Wed Jan 15 10:41:56 2020,24.255,23.725,25.518,25.381,25.879,70.000,25.302
Wed Jan 15 10:41:56 2020,25.056,23.727,25.795,25.658,26.183,70.000,25.589
Wed Jan 15 10:41:57 2020,25.871,23.727,25.795,25.658,26.183,70.000,25.589
Wed Jan 15 10:41:58 2020,26.672,23.729,26.074,25.965,26.516,70.000,25.870
Wed Jan 15 10:41:59 2020,27.487,23.733,26.381,26.249,26.822,70.000,26.177
Wed Jan 15 10:42:00 2020,28.288,23.734,26.665,26.536,27.131,70.000,26.177
Wed Jan 15 10:42:00 2020,29.103,23.734,26.665,26.536,27.131,70.000,26.474
Wed Jan 15 10:42:01 2020,29.904,23.737,26.951,26.826,27.439,70.000,26.771
Wed Jan 15 10:42:02 2020,30.719,23.739,27.239,27.117,27.750,70.000,27.062
Wed Jan 15 10:42:03 2020,31.536,23.739,27.239,27.117,27.750,70.000,27.062
Wed Jan 15 10:42:04 2020,32.335,23.741,27.527,27.411,28.059,70.000,27.365
Wed Jan 15 10:42:05 2020,33.152,23.743,27.817,27.706,28.369,70.000,27.656
Wed Jan 15 10:42:05 2020,33.951,23.744,28.109,28.001,28.680,70.000,27.958
Wed Jan 15 10:42:06 2020,34.768,23.744,28.109,28.001,28.680,70.000,27.958
Wed Jan 15 10:42:07 2020,35.568,23.746,28.401,28.325,29.017,70.000,28.255
Wed Jan 15 10:42:08 2020,36.384,23.748,28.721,28.624,29.328,70.000,28.573
Wed Jan 15 10:42:09 2020,37.183,23.748,29.014,28.923,29.637,70.000,28.573
Wed Jan 15 10:42:09 2020,38.000,23.749,29.014,28.923,29.637,70.000,28.880
Wed Jan 15 10:42:10 2020,38.800,23.752,29.308,29.222,29.947,70.000,29.182
Wed Jan 15 10:42:11 2020,39.616,23.754,29.602,29.523,30.255,70.000,29.484
Wed Jan 15 10:42:12 2020,40.415,23.754,29.602,29.523,30.255,70.000,29.484
Wed Jan 15 10:42:13 2020,41.232,23.757,29.896,29.824,30.564,70.000,29.786
Wed Jan 15 10:42:13 2020,42.047,23.762,30.191,30.124,30.873,70.000,30.089
Wed Jan 15 10:42:14 2020,42.848,23.765,30.486,30.426,31.180,70.000,30.385
Wed Jan 15 10:42:15 2020,43.663,23.765,30.486,30.426,31.180,70.000,30.385
Wed Jan 15 10:42:16 2020,44.464,23.766,30.779,30.753,31.515,70.000,30.693
Wed Jan 15 10:42:17 2020,45.279,23.769,31.102,31.055,31.821,70.000,31.005
Wed Jan 15 10:42:17 2020,46.080,23.769,31.395,31.357,31.821,70.000,31.005
Wed Jan 15 10:42:18 2020,46.895,23.771,31.395,31.357,32.126,70.000,31.318
Wed Jan 15 10:42:19 2020,47.696,23.774,31.689,31.658,32.432,70.000,31.620
Wed Jan 15 10:42:20 2020,48.511,23.776,31.984,31.959,32.736,70.000,31.922
Wed Jan 15 10:42:21 2020,49.312,23.776,31.984,31.959,32.736,70.000,31.922
Wed Jan 15 10:42:22 2020,50.127,23.778,32.276,32.259,33.038,70.000,32.219
Wed Jan 15 10:42:22 2020,50.928,23.781,32.568,32.559,33.341,70.000,32.516
Wed Jan 15 10:42:23 2020,51.743,23.782,32.859,32.858,33.642,70.000,32.812
Wed Jan 15 10:42:24 2020,52.544,23.782,32.859,32.858,33.642,70.000,32.812
Wed Jan 15 10:42:25 2020,53.359,23.784,33.150,33.184,33.970,70.000,33.109
Wed Jan 15 10:42:26 2020,54.175,23.787,33.468,33.484,34.269,70.000,33.427
Wed Jan 15 10:42:26 2020,54.975,23.787,33.757,33.781,34.269,70.000,33.427
Wed Jan 15 10:42:27 2020,55.791,23.789,33.757,33.781,34.567,70.000,33.729
Wed Jan 15 10:42:28 2020,56.591,23.790,34.047,34.078,34.865,70.000,34.026
Wed Jan 15 10:42:29 2020,57.407,23.792,34.335,34.374,35.162,70.000,34.323
Wed Jan 15 10:42:30 2020,58.207,23.792,34.335,34.374,35.162,70.000,34.323
Wed Jan 15 10:42:30 2020,59.023,23.795,34.624,34.671,35.456,70.000,34.615
Wed Jan 15 10:42:31 2020,59.823,23.796,34.910,34.966,35.752,70.000,34.906
Wed Jan 15 10:42:32 2020,60.639,23.798,35.196,35.287,36.072,70.000,35.104
Wed Jan 15 10:42:33 2020,61.440,23.798,35.196,35.287,36.072,70.000,35.203
Wed Jan 15 10:42:34 2020,62.255,23.800,35.509,35.581,36.364,70.000,35.510
Wed Jan 15 10:42:34 2020,63.057,23.803,35.792,35.875,36.656,70.000,35.812
Wed Jan 15 10:42:35 2020,63.871,23.803,35.792,35.875,36.656,70.000,35.812
Wed Jan 15 10:42:36 2020,64.687,23.804,36.076,36.167,36.947,70.000,36.099
Wed Jan 15 10:42:37 2020,65.487,23.807,36.358,36.458,37.236,70.000,36.385
Wed Jan 15 10:42:38 2020,66.303,23.811,36.641,36.749,37.525,70.000,36.677
Wed Jan 15 10:42:38 2020,67.103,23.811,36.641,36.749,37.525,70.000,36.677
Wed Jan 15 10:42:39 2020,67.919,23.811,36.922,37.038,37.812,70.000,36.964
Wed Jan 15 10:42:40 2020,68.719,23.815,37.228,37.354,38.125,70.000,37.250
Wed Jan 15 10:42:41 2020,69.536,23.816,37.508,37.641,38.409,70.000,37.349
Wed Jan 15 10:42:42 2020,70.335,23.816,37.508,37.641,38.409,70.000,37.562
Wed Jan 15 10:42:43 2020,71.152,23.818,37.786,37.929,38.695,70.000,37.849
Wed Jan 15 10:42:43 2020,71.951,23.820,38.064,38.216,38.980,70.000,38.130
Wed Jan 15 10:42:44 2020,72.768,23.820,38.064,38.216,38.980,70.000,38.130
Wed Jan 15 10:42:45 2020,73.568,23.822,38.341,38.502,39.262,70.000,38.411
Wed Jan 15 10:42:46 2020,74.384,23.823,38.618,38.787,39.545,70.000,38.693
Wed Jan 15 10:42:47 2020,75.199,23.824,38.894,39.097,39.851,70.000,38.974
Wed Jan 15 10:42:47 2020,76.000,23.824,38.894,39.097,39.851,70.000,38.974
Wed Jan 15 10:42:48 2020,76.815,23.825,39.195,39.382,40.131,70.000,39.276
Wed Jan 15 10:42:49 2020,77.616,23.827,39.469,39.664,40.412,70.000,39.562
Wed Jan 15 10:42:50 2020,78.431,23.828,39.742,39.946,40.690,70.000,39.562
Wed Jan 15 10:42:51 2020,79.232,23.828,39.742,39.946,40.690,70.000,39.844
Wed Jan 15 10:42:51 2020,80.047,23.831,40.014,40.227,40.968,70.000,40.120
Wed Jan 15 10:42:52 2020,80.847,23.832,40.286,40.507,41.244,70.000,40.391
Wed Jan 15 10:42:53 2020,81.663,23.832,40.286,40.507,41.244,70.000,40.391
Wed Jan 15 10:42:54 2020,82.464,23.833,40.556,40.786,41.519,70.000,40.672
Wed Jan 15 10:42:55 2020,83.279,23.836,40.826,41.091,41.820,70.000,40.948
Wed Jan 15 10:42:55 2020,84.080,23.838,41.120,41.368,42.096,70.000,41.234
Wed Jan 15 10:42:56 2020,84.895,23.838,41.120,41.368,42.096,70.000,41.234
Wed Jan 15 10:42:57 2020,85.711,23.839,41.389,41.645,42.373,70.000,41.521
Wed Jan 15 10:42:58 2020,86.511,23.841,41.656,41.921,42.649,70.000,41.792
Wed Jan 15 10:42:59 2020,87.327,23.844,41.923,42.200,42.924,70.000,41.792
Wed Jan 15 10:43:00 2020,88.127,23.844,41.923,42.200,42.924,70.000,42.062
Wed Jan 15 10:43:00 2020,88.943,23.846,42.192,42.478,43.196,70.000,42.344
Wed Jan 15 10:43:01 2020,89.743,23.849,42.460,42.755,43.469,70.000,42.615
Wed Jan 15 10:43:02 2020,90.560,23.849,42.460,42.755,43.469,70.000,42.615
Wed Jan 15 10:43:03 2020,91.359,23.851,42.727,43.056,43.765,70.000,42.891
Wed Jan 15 10:43:04 2020,92.175,23.854,43.017,43.331,44.036,70.000,43.172
Wed Jan 15 10:43:04 2020,92.975,23.857,43.282,43.604,44.306,70.000,43.458
Wed Jan 15 10:43:05 2020,93.791,23.857,43.282,43.604,44.306,70.000,43.458
Wed Jan 15 10:43:06 2020,94.591,23.858,43.547,43.877,44.575,70.000,43.724
Wed Jan 15 10:43:07 2020,95.407,23.862,43.810,44.149,44.842,70.000,43.995
Wed Jan 15 10:43:08 2020,96.222,23.865,44.072,44.421,45.109,70.000,43.995
Wed Jan 15 10:43:08 2020,97.023,23.865,44.072,44.421,45.109,70.000,44.255
Wed Jan 15 10:43:09 2020,97.838,23.868,44.334,44.691,45.374,70.000,44.521
Wed Jan 15 10:43:10 2020,98.639,23.871,44.594,44.961,45.639,70.000,44.792
Wed Jan 15 10:43:11 2020,99.454,23.871,44.594,44.961,45.639,70.000,44.792
Wed Jan 15 10:43:12 2020,100.255,23.873,44.854,45.253,45.927,70.000,45.057
Wed Jan 15 10:43:12 2020,101.070,23.875,45.136,45.521,46.190,70.000,45.339
Wed Jan 15 10:43:13 2020,101.871,23.877,45.393,45.787,46.451,70.000,45.609
Wed Jan 15 10:43:14 2020,102.686,23.877,45.393,45.787,46.451,70.000,45.609
Wed Jan 15 10:43:15 2020,103.487,23.879,45.650,46.053,46.713,70.000,45.870
Wed Jan 15 10:43:16 2020,104.302,23.881,45.907,46.318,46.973,70.000,46.130
Wed Jan 15 10:43:16 2020,105.103,23.881,46.162,46.583,46.973,70.000,46.130
Wed Jan 15 10:43:17 2020,105.919,23.883,46.162,46.583,47.232,70.000,46.396
Wed Jan 15 10:43:18 2020,106.719,23.886,46.416,46.846,47.491,70.000,46.651
Wed Jan 15 10:43:19 2020,107.534,23.886,46.671,47.108,47.748,70.000,46.911
Wed Jan 15 10:43:20 2020,108.351,23.886,46.671,47.108,47.748,70.000,46.911
Wed Jan 15 10:43:21 2020,109.151,23.889,46.923,47.393,48.029,70.000,47.161
Wed Jan 15 10:43:21 2020,109.967,23.889,47.198,47.655,48.285,70.000,47.443
Wed Jan 15 10:43:22 2020,110.766,23.890,47.449,47.914,48.541,70.000,47.615
Wed Jan 15 10:43:23 2020,111.583,23.890,47.449,47.914,48.541,70.000,47.703
Wed Jan 15 10:43:24 2020,112.382,23.892,47.701,48.174,48.796,70.000,47.958
Wed Jan 15 10:43:25 2020,113.199,23.893,47.950,48.432,49.050,70.000,48.214
Wed Jan 15 10:43:25 2020,113.999,23.893,48.198,48.432,49.050,70.000,48.214
Wed Jan 15 10:43:26 2020,114.815,23.895,48.198,48.689,49.302,70.000,48.469
Wed Jan 15 10:43:27 2020,115.615,23.897,48.447,48.945,49.553,70.000,48.724
Wed Jan 15 10:43:28 2020,116.431,23.900,48.694,49.200,49.805,70.000,48.974
Wed Jan 15 10:43:29 2020,117.230,23.900,48.694,49.200,49.805,70.000,48.974
Wed Jan 15 10:43:29 2020,118.047,23.900,48.941,49.479,50.078,70.000,49.224
Wed Jan 15 10:43:30 2020,118.862,23.902,49.208,49.734,50.326,70.000,49.490
Wed Jan 15 10:43:31 2020,119.663,23.903,49.454,49.986,50.576,70.000,49.661
Wed Jan 15 10:43:32 2020,120.478,23.903,49.454,49.986,50.576,70.000,49.745
Wed Jan 15 10:43:33 2020,121.279,23.905,49.698,50.239,50.824,70.000,50.000
Wed Jan 15 10:43:33 2020,122.094,23.906,49.942,50.491,51.072,70.000,50.245
Wed Jan 15 10:43:34 2020,122.895,23.906,49.942,50.491,51.072,70.000,50.245
Wed Jan 15 10:43:35 2020,123.710,23.909,50.185,50.742,51.319,70.000,50.495
Wed Jan 15 10:43:36 2020,124.511,23.910,50.428,50.992,51.565,70.000,50.740
Wed Jan 15 10:43:37 2020,125.326,23.911,50.670,51.243,51.809,70.000,50.990
Wed Jan 15 10:43:38 2020,126.127,23.911,50.670,51.243,51.809,70.000,50.990
Wed Jan 15 10:43:38 2020,126.942,23.913,50.910,51.514,52.075,70.000,51.229
Wed Jan 15 10:43:39 2020,127.743,23.914,51.172,51.762,52.318,70.000,51.490
Wed Jan 15 10:43:40 2020,128.558,23.916,51.410,52.009,52.560,70.000,51.661
Wed Jan 15 10:43:41 2020,129.374,23.916,51.410,52.009,52.560,70.000,51.745
Wed Jan 15 10:43:42 2020,130.174,23.918,51.649,52.256,52.800,70.000,51.984
Wed Jan 15 10:43:42 2020,130.990,23.920,51.886,52.501,53.042,70.000,52.229
Wed Jan 15 10:43:43 2020,131.790,23.920,51.886,52.501,53.042,70.000,52.229
Wed Jan 15 10:43:44 2020,132.607,23.923,52.123,52.746,53.282,70.000,52.469
Wed Jan 15 10:43:45 2020,133.406,23.924,52.359,52.990,53.521,70.000,52.708
Wed Jan 15 10:43:46 2020,134.222,23.926,52.596,53.234,53.761,70.000,52.948
Wed Jan 15 10:43:46 2020,135.022,23.926,52.596,53.234,53.761,70.000,52.948
Wed Jan 15 10:43:47 2020,135.838,23.926,52.829,53.499,54.019,70.000,53.188
Wed Jan 15 10:43:48 2020,136.638,23.928,53.085,53.740,54.256,70.000,53.443
Wed Jan 15 10:43:49 2020,137.454,23.929,53.318,53.982,54.492,70.000,53.609
Wed Jan 15 10:43:50 2020,138.254,23.929,53.318,53.982,54.492,70.000,53.688
Wed Jan 15 10:43:50 2020,139.070,23.933,53.551,54.223,54.727,70.000,53.922
Wed Jan 15 10:43:51 2020,139.886,23.933,53.784,54.463,54.962,70.000,54.161
Wed Jan 15 10:43:52 2020,140.686,23.933,53.784,54.463,54.962,70.000,54.161
Wed Jan 15 10:43:53 2020,141.502,23.935,54.014,54.701,55.195,70.000,54.396
Wed Jan 15 10:43:54 2020,142.302,23.937,54.244,54.939,55.426,70.000,54.625
Wed Jan 15 10:43:55 2020,143.118,23.938,54.475,55.177,55.658,70.000,54.865
Wed Jan 15 10:43:55 2020,143.918,23.938,54.475,55.177,55.658,70.000,54.865
Wed Jan 15 10:43:56 2020,144.734,23.939,54.705,55.435,55.909,70.000,55.099
Wed Jan 15 10:43:57 2020,145.534,23.941,54.955,55.672,56.138,70.000,55.344
Wed Jan 15 10:43:58 2020,146.350,23.941,55.183,55.908,56.367,70.000,55.427
Wed Jan 15 10:43:59 2020,147.150,23.941,55.183,55.908,56.367,70.000,55.583
Wed Jan 15 10:43:59 2020,147.966,23.943,55.410,56.143,56.594,70.000,55.812
Wed Jan 15 10:44:00 2020,148.766,23.944,55.639,56.378,56.822,70.000,56.047
Wed Jan 15 10:44:01 2020,149.582,23.944,55.639,56.378,56.822,70.000,56.047
Wed Jan 15 10:44:02 2020,150.383,23.945,55.866,56.611,57.047,70.000,56.271
Wed Jan 15 10:44:03 2020,151.198,23.946,56.089,56.841,57.268,70.000,56.505
Wed Jan 15 10:44:03 2020,152.014,23.947,56.309,57.067,57.484,70.000,56.724
Wed Jan 15 10:44:04 2020,152.814,23.947,56.309,57.067,57.484,70.000,56.724
Wed Jan 15 10:44:05 2020,153.630,23.948,56.525,57.310,57.715,70.000,56.943
Wed Jan 15 10:44:06 2020,154.431,23.950,56.756,57.529,57.922,70.000,57.172
Wed Jan 15 10:44:07 2020,155.246,23.950,56.964,57.744,58.126,70.000,57.250
Wed Jan 15 10:44:07 2020,156.048,23.950,56.964,57.744,58.126,70.000,57.396
Wed Jan 15 10:44:08 2020,156.862,23.951,57.172,57.958,58.328,70.000,57.604
Wed Jan 15 10:44:09 2020,157.663,23.953,57.377,58.169,58.529,70.000,57.812
Wed Jan 15 10:44:10 2020,158.478,23.953,57.377,58.169,58.529,70.000,57.812
Wed Jan 15 10:44:11 2020,159.279,23.954,57.580,58.379,58.727,70.000,58.016
Wed Jan 15 10:44:11 2020,160.094,23.956,57.781,58.586,58.925,70.000,58.224
Wed Jan 15 10:44:12 2020,160.895,23.958,57.984,58.793,59.122,70.000,58.422
Wed Jan 15 10:44:13 2020,161.710,23.958,57.984,58.793,59.122,70.000,58.422
Wed Jan 15 10:44:14 2020,162.526,23.959,58.183,59.016,59.339,70.000,58.620
Wed Jan 15 10:44:15 2020,163.326,23.961,58.400,59.220,59.537,70.000,58.839
Wed Jan 15 10:44:16 2020,164.142,23.963,58.597,59.422,59.733,70.000,58.911
Wed Jan 15 10:44:16 2020,164.942,23.963,58.597,59.422,59.733,70.000,59.047
Wed Jan 15 10:44:17 2020,165.758,23.964,58.792,59.623,59.931,70.000,59.245
Wed Jan 15 10:44:18 2020,166.559,23.966,58.984,59.818,60.123,70.000,59.438
Wed Jan 15 10:44:19 2020,167.374,23.966,58.984,59.818,60.123,70.000,59.438
Wed Jan 15 10:44:20 2020,168.174,23.966,59.164,60.007,60.307,70.000,59.630
Wed Jan 15 10:44:20 2020,168.990,23.968,59.338,60.187,60.484,70.000,59.818
Wed Jan 15 10:44:21 2020,169.790,23.970,59.503,60.360,60.669,70.000,59.990
Wed Jan 15 10:44:22 2020,170.606,23.970,59.503,60.360,60.669,70.000,59.990
Wed Jan 15 10:44:23 2020,171.406,23.970,59.679,60.543,60.833,70.000,60.172
Wed Jan 15 10:44:24 2020,172.222,23.972,59.837,60.708,60.992,70.000,60.344
Wed Jan 15 10:44:24 2020,173.038,23.973,59.993,60.869,61.149,70.000,60.344
Wed Jan 15 10:44:25 2020,173.838,23.973,59.993,60.869,61.149,70.000,60.505
Wed Jan 15 10:44:26 2020,174.654,23.974,60.144,61.026,61.303,70.000,60.661
Wed Jan 15 10:44:27 2020,175.454,23.977,60.294,61.181,61.453,70.000,60.818
Wed Jan 15 10:44:28 2020,176.270,23.977,60.294,61.181,61.453,70.000,60.818
Wed Jan 15 10:44:28 2020,177.070,23.978,60.444,61.335,61.602,70.000,60.964
Wed Jan 15 10:44:29 2020,177.886,23.980,60.603,61.501,61.760,70.000,61.120
Wed Jan 15 10:44:30 2020,178.686,23.981,60.748,61.651,61.903,70.000,61.281
Wed Jan 15 10:44:31 2020,179.502,23.981,60.748,61.651,61.903,70.000,61.281
Wed Jan 15 10:44:32 2020,180.302,23.982,60.894,61.799,62.047,70.000,61.422
Wed Jan 15 10:44:33 2020,181.118,23.984,61.036,61.945,62.189,70.000,61.578
Wed Jan 15 10:44:33 2020,181.918,23.984,61.173,62.090,62.189,70.000,61.578
Wed Jan 15 10:44:34 2020,182.734,23.986,61.173,62.090,62.324,70.000,61.719
Wed Jan 15 10:44:35 2020,183.550,23.987,61.306,62.228,62.455,70.000,61.854
Wed Jan 15 10:44:36 2020,184.350,23.989,61.442,62.370,62.590,70.000,61.990
Wed Jan 15 10:44:37 2020,185.166,23.989,61.442,62.370,62.590,70.000,61.990
Wed Jan 15 10:44:37 2020,185.966,23.991,61.563,62.497,62.708,70.000,62.125
Wed Jan 15 10:44:38 2020,186.782,23.992,61.679,62.618,62.821,70.000,62.250
Wed Jan 15 10:44:39 2020,187.582,23.994,61.793,62.737,62.931,70.000,62.328
Wed Jan 15 10:44:40 2020,188.398,23.994,61.793,62.737,62.931,70.000,62.365
Wed Jan 15 10:44:41 2020,189.198,23.996,61.905,62.855,63.040,70.000,62.479
Wed Jan 15 10:44:41 2020,190.014,23.998,62.015,62.969,63.146,70.000,62.589
Wed Jan 15 10:44:42 2020,190.814,23.998,62.015,62.969,63.146,70.000,62.589
Wed Jan 15 10:44:43 2020,191.630,24.000,62.121,63.092,63.260,70.000,62.703
Wed Jan 15 10:44:44 2020,192.430,24.002,62.238,63.202,63.360,70.000,62.812
Wed Jan 15 10:44:45 2020,193.246,24.003,62.343,63.311,63.462,70.000,62.927
Wed Jan 15 10:44:45 2020,194.046,24.003,62.343,63.311,63.462,70.000,62.927
