t;t_sec;Tamb;PV1;PV2;PV3;SP;PV_prom
Mon Jan 13 17:18:59 2020;54.992;26.431;36.163;35.527;35.980;70.000;35.646
Mon Jan 13 17:19:00 2020;55.792;26.431;36.400;35.527;35.980;70.000;35.646
Mon Jan 13 17:19:01 2020;56.608;26.425;36.400;35.763;36.238;70.000;35.880
Mon Jan 13 17:19:02 2020;57.408;26.423;36.658;36.020;36.475;70.000;36.125
Mon Jan 13 17:19:02 2020;58.224;26.420;36.894;36.253;36.712;70.000;36.380
Mon Jan 13 17:19:03 2020;59.024;26.420;36.894;36.253;36.712;70.000;36.380
Mon Jan 13 17:19:04 2020;59.840;26.423;37.129;36.488;36.947;70.000;36.615
Mon Jan 13 17:19:05 2020;60.640;26.427;37.363;36.720;37.181;70.000;36.849
Mon Jan 13 17:19:06 2020;61.456;26.431;37.596;36.953;37.414;70.000;37.005
Mon Jan 13 17:19:06 2020;62.256;26.431;37.596;36.953;37.414;70.000;37.083
Mon Jan 13 17:19:07 2020;63.072;26.434;37.828;37.183;37.647;70.000;37.312
Mon Jan 13 17:19:08 2020;63.887;26.436;38.059;37.415;37.879;70.000;37.542
Mon Jan 13 17:19:09 2020;64.688;26.436;38.059;37.415;37.879;70.000;37.542
Mon Jan 13 17:19:10 2020;65.503;26.437;38.289;37.664;38.129;70.000;37.776
Mon Jan 13 17:19:10 2020;66.304;26.438;38.539;37.892;38.360;70.000;38.021
Mon Jan 13 17:19:11 2020;67.119;26.440;38.766;38.121;38.588;70.000;38.260
Mon Jan 13 17:19:12 2020;67.920;26.440;38.766;38.121;38.588;70.000;38.260
Mon Jan 13 17:19:13 2020;68.735;26.441;38.993;38.349;38.816;70.000;38.484
Mon Jan 13 17:19:14 2020;69.536;26.443;39.220;38.574;39.043;70.000;38.714
Mon Jan 13 17:19:14 2020;70.351;26.446;39.445;38.799;39.268;70.000;38.792
Mon Jan 13 17:19:15 2020;71.152;26.446;39.445;38.799;39.268;70.000;38.938
Mon Jan 13 17:19:16 2020;71.967;26.448;39.668;39.023;39.493;70.000;39.167
Mon Jan 13 17:19:17 2020;72.768;26.447;39.891;39.267;39.736;70.000;39.385
Mon Jan 13 17:19:18 2020;73.583;26.447;39.891;39.267;39.736;70.000;39.385
Mon Jan 13 17:19:19 2020;74.400;26.446;40.134;39.489;39.958;70.000;39.630
Mon Jan 13 17:19:19 2020;75.199;26.444;40.355;39.710;40.181;70.000;39.854
Mon Jan 13 17:19:20 2020;76.016;26.444;40.575;39.930;40.401;70.000;40.073
Mon Jan 13 17:19:21 2020;76.815;26.444;40.575;39.930;40.401;70.000;40.073
Mon Jan 13 17:19:22 2020;77.632;26.442;40.794;40.151;40.621;70.000;40.292
Mon Jan 13 17:19:23 2020;78.431;26.442;41.012;40.370;40.840;70.000;40.510
Mon Jan 13 17:19:23 2020;79.248;26.441;41.230;40.588;41.058;70.000;40.583
Mon Jan 13 17:19:24 2020;80.049;26.441;41.230;40.588;41.058;70.000;40.729
Mon Jan 13 17:19:25 2020;80.864;26.442;41.468;40.825;41.295;70.000;40.948
Mon Jan 13 17:19:26 2020;81.663;26.442;41.684;41.042;41.513;70.000;41.182
Mon Jan 13 17:19:27 2020;82.480;26.442;41.684;41.042;41.513;70.000;41.182
Mon Jan 13 17:19:27 2020;83.279;26.442;41.900;41.258;41.727;70.000;41.401
Mon Jan 13 17:19:28 2020;84.096;26.442;42.119;41.474;41.944;70.000;41.620
Mon Jan 13 17:19:29 2020;84.911;26.441;42.336;41.688;42.162;70.000;41.839
Mon Jan 13 17:19:30 2020;85.712;26.441;42.336;41.688;42.162;70.000;41.839
Mon Jan 13 17:19:31 2020;86.527;26.439;42.552;41.902;42.377;70.000;42.057
Mon Jan 13 17:19:31 2020;87.328;26.437;42.785;42.138;42.613;70.000;42.271
Mon Jan 13 17:19:32 2020;88.143;26.437;42.785;42.138;42.613;70.000;42.271
Mon Jan 13 17:19:33 2020;88.944;26.435;43.001;42.353;42.826;70.000;42.505
Mon Jan 13 17:19:34 2020;89.759;26.432;43.214;42.568;43.040;70.000;42.719
Mon Jan 13 17:19:35 2020;90.561;26.433;43.427;42.781;43.254;70.000;42.932
Mon Jan 13 17:19:35 2020;91.375;26.433;43.427;42.781;43.254;70.000;42.932
Mon Jan 13 17:19:36 2020;92.176;26.432;43.639;42.993;43.466;70.000;43.146
Mon Jan 13 17:19:37 2020;92.991;26.433;43.851;43.205;43.677;70.000;43.354
Mon Jan 13 17:19:38 2020;93.792;26.433;44.062;43.436;43.906;70.000;43.500
Mon Jan 13 17:19:39 2020;94.607;26.433;44.062;43.436;43.906;70.000;43.573
Mon Jan 13 17:19:40 2020;95.423;26.434;44.290;43.646;44.118;70.000;43.786
Mon Jan 13 17:19:40 2020;96.223;26.434;44.501;43.856;44.327;70.000;44.010
Mon Jan 13 17:19:41 2020;97.039;26.434;44.501;43.856;44.327;70.000;44.010
Mon Jan 13 17:19:42 2020;97.839;26.439;44.709;44.066;44.535;70.000;44.219
Mon Jan 13 17:19:43 2020;98.655;26.440;44.916;44.274;44.743;70.000;44.432
Mon Jan 13 17:19:44 2020;99.455;26.442;45.123;44.482;44.950;70.000;44.635
Mon Jan 13 17:19:44 2020;100.271;26.442;45.123;44.482;44.950;70.000;44.635
Mon Jan 13 17:19:45 2020;101.071;26.443;45.329;44.689;45.156;70.000;44.839
Mon Jan 13 17:19:46 2020;101.887;26.446;45.535;44.895;45.363;70.000;45.052
Mon Jan 13 17:19:47 2020;102.687;26.447;45.741;45.120;45.587;70.000;45.188
Mon Jan 13 17:19:48 2020;103.503;26.447;45.741;45.120;45.587;70.000;45.260
